CAD,burned_fraction,dxb_dCAD,Qdot_W,q_W_m3,volume_m3
-8.9,0.0007629592722028215,0.0007440667667608494,87.34120304384238,86875095.93675113,1.0053652557394653e-06
-8.8,0.0008401297005247668,0.0007997876626697319,93.8819199536284,93510444.83849013,1.0039725521120114e-06
-8.7,0.0009230070266525543,0.0008582152100293355,100.74035323577102,100479568.79943693,1.0025953976460094e-06
-8.6,0.0010118650587989677,0.0009194122389763012,107.92387811513815,107790885.85853739,1.0012337987162968e-06
-8.5,0.0011069838786040146,0.0009834413856876414,115.43984704892685,115452805.28406107,9.998877616260398e-07
-8.4,0.001208649821057336,0.0010503650786239103,123.29558811183759,123473724.56715034,9.985572926066883e-07
-8.3,0.0013171554530117808,0.001120245524147422,131.49840330788962,131862026.31939913,9.97242397817938e-07
-8.2,0.001432799550228682,0.0011931446915033916,140.05556680745397,140626075.07316667,9.959430833476945e-07
-8.1,0.0015558870728878268,0.0012691242971520494,148.97432310810115,149774213.9833837,9.946593552120308e-07
-8.0,0.0016867291394982152,0.001348245788440134,158.261885117903,159314761.42967948,9.93391219355143e-07
-7.9,0.0018256429991423738,0.0014305703266003222,167.92543215984557,169256007.51770714,9.921386816493213e-07
-7.8,0.0019729520019864315,0.0015161587690675198,177.9721078960519,179606210.47862747,9.909017478949036e-07
-7.7,0.002128985567987166,0.0016050716511012114,188.40901817054862,190373592.96577197,9.896804238202481e-07
-7.6,0.0022940791537266764,0.0016973691667033746,199.2432287693426,201566338.24758783,9.884747150816834e-07
-7.5,0.002468574217302217,0.0017931111488218307,210.48176309661983,213192586.2960351,9.87284627263487e-07
-7.4,0.00265281818120152,0.0018923570488292348,222.13159976591655,225260429.7697039,9.861101658778413e-07
-7.3,0.002847164393087803,0.0019951659152683174,234.19967010515964,237777909.89099208,9.849513363647916e-07
-7.2,0.0030519720844239054,0.0021015963718543536,246.6928555745191,250753012.21677458,9.838081440922213e-07
-7.1,0.0032676063268581926,0.002211706594726292,259.61798509606336,264193662.3020972,9.826805943558113e-07
-7.0,0.0034944379862974404,0.0023255542889383993,272.9818322942663,278107721.2565154,9.815686923790184e-07
-6.9,0.0037328436745917956,0.0024431966641847544,286.7911126464613,292502981.1928173,9.804724433130111e-07
-6.8,0.003983205698751911,0.0025646904097493873,301.05248054239917,307387160.5679305,9.793918522366798e-07
-6.7,0.00424591200762345,0.00269009166867545,315.7725262521346,322767899.4160028,9.783269241565682e-07
-6.6,0.004521356135938631,0.0028194560111472152,330.95777280150935,338652754.47366494,9.772776640068523e-07
-6.5,0.004809937145666443,0.0029528384070794294,346.61467275459387,355049194.19767463,9.762440766493197e-07
-6.4,0.005112059564581527,0.003090293197908978,362.7496049024923,371964593.6752375,9.75226166873316e-07
-6.3,0.005428133321973373,0.003231874067584559,379.3688708580073,389406229.42740566,9.74223939395737e-07
-6.2,0.005758573681412481,0.003377634012750642,396.47869155572704,407381274.1061341,9.73237398860983e-07
-6.1,0.006103801170496134,0.003527625312122694,414.08520365718033,425896791.0856627,9.722665498409293e-07
-6.0,0.006464241507490557,0.0036818994950513243,432.19445586078444,444959728.9490472,9.713113968349155e-07
-5.9,0.006840325524787977,0.003840507309273808,450.8124051164033,464576915.87084204,9.70371944269686e-07
-5.8,0.007232489089099932,0.004003498687852066,469.9449127444117,484755053.8970019,9.69448196499387e-07
-5.7,0.007641173018301894,0.004170922715297187,489.59774045926923,505500713.1233234,9.685401578055254e-07
-5.6,0.008066822994851326,0.00434282759288113,509.7765462976864,526820325.77381134,9.676478323969554e-07
-5.5,0.00850988947569491,0.004519260603137406,530.4868804515872,548720180.180618,9.667712244098092e-07
-5.4,0.008970827598586405,0.004700268073553122,551.7341810061524,571206414.667199,9.659103379075467e-07
-5.3,0.009450097084732859,0.004885895339455932,573.5237695833582,594285011.3367692,9.650651768808518e-07
-5.2,0.009948162137689747,0.005076186706100241,595.8608468915196,617961789.7679987,9.64235745247653e-07
-5.1,0.010465491338424665,0.005271185409958071,618.7504881814751,642242400.6203345,9.634220468530747e-07
-5.0,0.01100255753647092,0.005470933579220967,642.1976386101595,667132319.1513392,9.626240854694326e-07
-4.9,0.011559837737091844,0.00567547219352041,666.2071085124428,692636838.6487365,9.618418647961962e-07
-4.8,0.012137812984378335,0.005884841042875281,690.7835685822375,718761063.7799721,9.610753884599695e-07
-4.7,0.012736968240203853,0.006099078685875989,715.931544964004,745509903.8623357,9.603246600144517e-07
-4.6,0.013357792258958487,0.0063182224071161325,741.6554142559252,772888066.0568187,9.595896829404564e-07
-4.5,0.014000777457990488,0.00654230817388365,767.9593984261622,800900048.4892538,9.58870460645835e-07
-4.4,0.014666419783679805,0.006771370592124691,794.8475596437356,829550133.3022165,9.581669964654947e-07
-4.3,0.0153552185730724,0.007005442861694679,822.3237950257366,858842379.6416572,9.57479293661361e-07
-4.2,0.01606767641100433,0.007244556730912332,850.3918313027151,888780616.5822585,9.568073554223486e-07
-4.1,0.016804298982647674,0.007488742450433752,879.055219404259,919368435.9957631,9.56151184864378e-07
-4.0,0.0175655949214101,0.007738028726465013,908.3173289669185,950609185.3668753,9.555107850303016e-07
-3.9,0.018352075652123906,0.00799244267333305,938.1813427668096,982505960.561278,9.548861588899196e-07
-3.8,0.019164255229460688,0.00825200976543623,968.6502510794022,1015061598.5508225,9.542773093399646e-07
-3.7,0.02000265017151067,0.008516753788597156,999.7268459691377,1048278670.1010377,9.536842392040464e-07
-3.6,0.020867779288469078,0.008786696790842152,1031.4137155117505,1082159472.42624,9.531069512326906e-07
-3.5,0.021760163506372516,0.009061859032632905,1063.7132379522811,1116706021.818053,9.525454481032555e-07
-3.4,0.022680325685832527,0.009342258936577775,1096.6275758020104,1151920046.2529488,9.519997324199733e-07
-3.3,0.02362879043571442,0.009627913036651482,1130.158669877689,1187802977.985126,9.514698067138883e-07
-3.2,0.02460608392171657,0.009918835926953841,1164.3082332866493,1224355946.130834,9.50955673442886e-07
-3.1,0.025612733669801938,0.010215040210039472,1199.077745361569,1261579769.2509127,9.504573349916228e-07
-3.0,0.026649268364444215,0.010516536444852448,1234.4684455488518,1299474947.9381065,9.499747936715507e-07
-2.9,0.02771621764164779,0.010823333094301299,1270.4813272547956,1338041657.4163358,9.49508051720905e-07
-2.8,0.028814111876709673,0.011135436472511579,1307.1171316539117,1377279740.1591952,9.490571113046551e-07
-2.7,0.029943481966691467,0.01145285069179511,1344.3763414639857,1417188698.535047,9.486219745145245e-07
-2.6,0.031104859107576942,0.011775577609376376,1382.2591746926312,1457767687.4865818,9.482026433689588e-07
-2.5,0.03229877456609018,0.012103616773918852,1420.765578360362,1499015507.252737,9.477991198131202e-07
-2.4,0.03352575944615955,0.01243696537189542,1459.8952222053608,1540930596.1412067,9.474114057188724e-07
-2.3,0.03478634445001264,0.012775618173849161,1499.647492375377,1583511023.3599718,9.470395028847675e-07
-2.2,0.03608105963389293,0.013119567480592424,1540.0214851123858,1626754481.9164882,9.46683413036046e-07
-2.1,0.03741043415839674,0.013468803069394075,1581.0160004358536,1670658281.5935144,9.463431378245958e-07
-2.0,0.03877499603342881,0.01382331214020669,1622.629535830696,1715219342.010509,9.460186788289811e-07
-1.9,0.04017527185778652,0.0141830792619872,1664.8602799462035,1760434185.780142,9.45710037554409e-07
-1.8,0.04161178655338172,0.014548086319166598,1707.7061063124652,1806298931.769359,9.454172154327095e-07
-1.7,0.04308506309412017,0.014918312458325943,1751.1645670810099,1852809288.4746842,9.451402138223557e-07
-1.6,0.044595622229461555,0.015293734035138068,1795.2328867966332,1899960547.5219116,9.448790340084309e-07
-1.5,0.04614398220268843,0.015674324561636043,1839.9079562075838,1947747577.3001585,9.446336772026409e-07
-1.4,0.04773065846392217,0.016060054653871534,1885.1863261215144,1996164816.7408245,9.444041445432814e-07
-1.3,0.04935616337792609,0.016450891980027794,1931.0642013148008,2045206269.2518072,9.441904370952458e-07
-1.2,0.0510210059267458,0.01684680120905435,1977.5374345030982,2094865496.8178408,9.439925558500213e-07
-1.1,0.052725691407241926,0.01724774395989177,2024.6015203811642,2145135614.2778275,9.438105017256721e-07
-1.0,0.054470721123577925,0.01765367875135721,2072.2515897402477,2196009283.7901692,9.436442755668484e-07
-0.9,0.05625659207473164,0.018064560952762803,2120.482403671494,2247478709.4974303,9.434938781447525e-07
-0.8,0.05808379663710953,0.01848034273534118,2169.288347864108,2299535632.4014807,9.433593101571766e-07
-0.7,0.05995282224234609,0.01890097302455398,2218.6634270071504,2352171325.4609556,9.43240572228453e-07
-0.6,0.061864151050382586,0.01932639745336082,2268.6012593040896,2405376588.9222517,9.431376649094912e-07
-0.5,0.06381825961792247,0.01975655831652805,2319.095071109394,2459141745.896185,9.430505886777367e-07
-0.4,0.0658156185623741,0.020191394526058382,2370.1376916967083,2513456638.1918154,9.42979343937196e-07
-0.3,0.06785669222139565,0.020630841567823705,2421.721548168257,2568310622.4195924,9.429239310184239e-07
-0.2,0.06994193830816758,0.021074831459485553,2473.8386605154,2623692566.375773,9.428843501785071e-07
-0.1,0.0720718075625234,0.02152329270978847,2526.4806368403447,2679590845.719969,9.428606016011054e-07
0.0,0.07424674339808392,0.02197615027931369,2579.638668749269,2735993340.958389,9.428526853963942e-07
0.1,0.07646718154554223,0.02243332554278146,2633.303526927238,2792887434.744363,9.428606016011054e-07
0.2,0.07873354969226101,0.02289473625299177,2687.4655569054357,2850260009.508742,9.428843501785071e-07
0.3,0.08104626711834916,0.023360296506494658,2742.1146750314274,2908097445.4320526,9.429239310184239e-07
0.4,0.08340574432939561,0.023829916711082182,2797.2403646532475,2966385618.770827,9.42979343937196e-07
0.5,0.08581238268604778,0.02430350355519543,2852.8316725282875,3025109900.549746,9.430505886777367e-07
0.6,0.0882665740306299,0.024780959979340825,2908.8772054680394,3084255155.6322284,9.431376649094912e-07
0.7,0.09076870031100782,0.02526218514961092,2965.365127229874,3143805742.180969,9.43240572228453e-07
0.8,0.09331913320191514,0.025747074433405667,3022.2831556671154,3203745511.5204844,9.433593101571766e-07
0.9,0.09591823372396464,0.026235519377450885,3079.618560148772,3264057808.4135604,9.434938781447525e-07
1.0,0.09856635186058195,0.026727407688211118,3137.358159260327,3324725471.7628756,9.436442755668484e-07
1.1,0.10126382617310344,0.027222623214794756,3195.48831879708,3385730835.749781,9.438105017256721e-07
1.2,0.10401098341429228,0.027721045934449226,3253.9949500615257,3447055731.4209485,9.439925558500213e-07
1.3,0.10680813814054022,0.028222551940744942,3312.863508476337,3508681488.734618,9.441904370952458e-07
1.4,0.10965559232302381,0.028727013434545996,3372.0789925244762,3570588939.076745,9.444041445432814e-07
1.5,0.11255363495810267,0.02923429871786623,3431.625943028001,3632758418.258103,9.446336772026409e-07
1.6,0.1155025416772506,0.029744272190708465,3491.488442777036,3695169770.0024137,9.448790340084309e-07
1.7,0.11850257435682483,0.030256794350984953,3551.6501165204427,3757802349.935768,9.451402138223557e-07
1.8,0.12155398072798494,0.030771721797616194,3612.094131329562,3820635030.0870466,9.454172154327095e-07
1.9,0.12465699398708471,0.031288907236904535,3672.8031973463762,3883646203.9085326,9.45710037554409e-07
2.0,0.1278118324068688,0.03180819949227847,3733.7595689273257,3946813791.826097,9.460186788289811e-07
2.1,0.13101869894881701,0.03232944351750224,3794.945046193899,4010115247.327223,9.463431378245958e-07
2.2,0.13427778087698533,0.03285248041344425,3856.3409770009725,4073527563.5954742,9.46683413036046e-07
2.3,0.137589249373708,0.033377147448496534,3917.928259333716,4137027280.6988034,9.470395028847675e-07
2.4,0.1409532591575251,0.033903278082735605,3979.6873441436833,4200590493.339052,9.474114057188724e-07
2.5,0.1443699481037186,0.034430701995913776,4041.5982386345236,4264192859.1697946,9.477991198131202e-07
2.6,0.14783943686784254,0.0349592451193674,4103.640510007501,4327809607.688171,9.482026433689588e-07
2.7,0.15136182851264338,0.035488729671927156,4165.7932896767525,4391415549.706907,9.486219745145245e-07
2.8,0.15493720813877424,0.03601897419991224,4228.035277963963,4454985087.411383,9.490571113046551e-07
2.9,0.15856564251971716,0.03654979362128842,4290.344749281788,4518492225.006298,9.49508051720905e-07
3.0,0.16224717974133174,0.0370809992740667,4352.699557815062,4581910579.955858,9.499747936715507e-07
3.1,0.1659818488464592,0.037612398969016594,4415.077143708469,4645213394.820486,9.504573349916228e-07
3.2,0.1697696594850162,0.03814379704676448,4477.454539768953,4708373549.692973,9.50955673442886e-07
3.3,0.17361060157002103,0.03867499443934431,4539.808378690757,4771363575.235236,9.514698067138883e-07
3.4,0.17750464493999915,0.039205788736263944,4602.114900810528,4834155666.317259,9.519997324199733e-07
3.5,0.18145173902822492,0.03973597425514685,4664.349962399484,4896721696.258497,9.525454481032555e-07
3.6,0.1854518125392579,0.04026534211700428,4726.489044499136,4959033231.670572,9.531069512326906e-07
3.7,0.1895047731332395,0.04079368032618885,4788.507262306521,5021061547.900857,9.536842392040464e-07
3.8,0.19361050711842265,0.04132077385507618,4850.37937511443,5082777645.073887,9.542773093399646e-07
3.9,0.19776887915240532,0.041846404733515224,4912.079796811416,5144152264.728435,9.548861588899196e-07
4.0,0.20197973195255178,0.042370352143084475,4973.582606945914,5205155907.045246,9.555107850303016e-07
4.1,0.20624288601607974,0.04289239251618436,5034.8615623580645,5265758848.661801,9.56151184864378e-07
4.2,0.21055813935029785,0.04341229963999128,5095.890109382199,5325931161.067213,9.568073554223486e-07
4.3,0.21492526721348684,0.043929844765293026,5156.641396622339,5385642729.571264,9.57479293661361e-07
4.4,0.21934402186690466,0.04444479672021877,5217.0882883022205,5444863272.839827,9.581669964654947e-07
4.5,0.22381413233841152,0.044956922028870666,5277.203378190697,5503562362.987284,9.58870460645835e-07
4.6,0.22833530419820403,0.04546598503485844,5336.959004102662,5561709446.217364,9.595896829404564e-07
4.7,0.23290721934714526,0.045971748029729545,5396.327262974646,5619273864.000783,9.603246600144517e-07
4.8,0.23752953581818498,0.04647397138628323,5455.280026513694,5676224874.778297,9.610753884599695e-07
4.9,0.2422018875913525,0.046972413696747074,5513.7889574170085,5732531676.176645,9.618418647961962e-07
5.0,0.24692388442280955,0.04746683191578898,5571.825526159225,5788163427.722747,9.626240854694326e-07
5.1,0.2516951116884465,0.047956981508329236,5629.361028343097,5843089274.042318,9.634220468530747e-07
5.2,0.25651513024249495,0.04844261660210931,5686.366602608576,5897278368.526047,9.64235745247653e-07
5.3,0.261383476291636,0.04892349014496665,5742.813249094285,5950699897.44672,9.650651768808518e-07
5.4,0.26629966128506627,0.04939935406675597,5798.6718484444145,6003323104.508942,9.659103379075467e-07
5.5,0.2712631718209873,0.04986995944584959,5853.913181353121,6055117315.812534,9.667712244098092e-07
5.6,0.2762734695699712,0.05033505668014085,5908.507948637519,6106051965.208856,9.676478323969554e-07
5.7,0.2813299912156453,0.05079439566246539,5962.426791829253,6156096620.029313,9.685401578055254e-07
5.8,0.2864321484131403,0.051247725960347254,6015.64031427374,6205221007.162442,9.69448196499387e-07
5.9,0.2915793277657213,0.05169479699996692,6068.119102724982,6253395039.4577055,9.70371944269686e-07
6.0,0.29677089082002395,0.052135358254239955,6119.833749422916,6300588842.429743,9.713113968349155e-07
6.1,0.30200617408029923,0.052569159434885465,6170.754874639085,6346772781.238509,9.722665498409293e-07
6.2,0.30728448904205763,0.05299595068835416,6220.853149675369,6391917487.918028,9.73237398860983e-07
6.3,0.31260512224549497,0.05341548279547726,6270.0993202995005,6435993888.82656,9.74223939395737e-07
6.4,0.31796733534906263,0.05382750737468708,6318.464230599793,6478973232.288768,9.75226166873316e-07
6.5,0.32337036522353096,0.05423177708865126,6365.91884724063,6520827116.4008875,9.762440766493197e-07
