CAD,T_mean_K,T_max_K,p_mean_Pa,p_mean_bar
138,1924.7834,2125.999,699556.67,6.9955667
139,1921.3054,2122.5029,694892.85,6.9489285
140,1917.9089,2119.0943,690377.09,6.9037709
141,1914.5932,2115.772,686005.88,6.8600588
142,1911.3571,2112.5348,681775.9,6.817759
143,1908.1998,2109.3818,677683.91,6.7768391
144,1905.1205,2106.3121,673726.85,6.7372685
145,1902.118,2103.3248,669901.75,6.6990175
146,1899.1917,2100.419,666205.78,6.6620578
147,1896.3406,2097.5939,662636.22,6.6263622
148,1893.5641,2094.8486,659190.46,6.5919046
149,1890.8611,2092.1825,655866,6.55866
150,1888.2311,2089.5946,652660.43,6.5266043
151,1885.6732,2087.0844,649571.46,6.4957146
152,1883.1867,2084.651,646596.9,6.465969
153,1880.7711,2082.2938,643734.66,6.4373466
154,1878.4255,2080.0121,640982.74,6.4098274
155,1876.1493,2077.8053,638339.22,6.3833922
156,1873.9421,2075.6726,635802.27,6.3580227
157,1871.8031,2073.6136,633370.16,6.3337016
158,1869.7318,2071.6276,631041.23,6.3104123
159,1867.7277,2069.7141,628813.9,6.288139
160,1865.7902,2067.8726,626686.67,6.2668667
161,1863.9189,2066.1025,624658.14,6.2465814
162,1862.1133,2064.4034,622726.94,6.2272694
163,1860.3729,2062.7748,620891.82,6.2089182
164,1858.6973,2061.2161,619151.59,6.1915159
165,1857.0862,2059.7271,617505.12,6.1750512
166,1855.5389,2058.3073,615951.36,6.1595136
167,1854.0553,2056.9562,614489.31,6.1448931
168,1852.635,2055.6736,613118.05,6.1311805
169,1851.2776,2054.4591,611836.73,6.1183673
170,1849.9829,2053.3123,610644.54,6.1064454
171,1848.7505,2052.233,609540.75,6.0954075
172,1847.5803,2051.2209,608524.69,6.0852469
173,1846.472,2050.2758,607595.76,6.0759576
174,1845.4254,2049.3973,606753.39,6.0675339
175,1844.4403,2048.5853,605997.1,6.059971
176,1843.5166,2047.8396,605326.46,6.0532646
177,1842.6541,2047.1599,604741.11,6.0474111
178,1841.8527,2046.5462,604240.72,6.0424072
179,1841.1119,2045.9982,603825.06,6.0382506
180,1840.4317,2045.516,603493.9,6.034939
