CAD,Qloss_piston_W,Qloss_cylinderHead_W,Qloss_cylinderWall_W,Qloss_total_W,q_piston_W_m2,q_cylinderHead_W_m2,q_cylinderWall_W_m2
119,4.463908,2.724819,32.332946,39.521673,60127.773,36702.66,87583.978
120,4.4011639,2.6838699,32.294705,39.3797388,59282.624,36151.085,86828.225
121,4.3401404,2.6442413,32.254108,39.2384897,58460.652,35617.297,86086.192
122,4.2807798,2.6059143,32.211218,39.0979121,57661.08,35101.042,85357.631
123,4.2230236,2.5688406,32.166096,38.9579602,56883.116,34601.667,84642.296
124,4.1668247,2.5330028,32.118801,38.8186285,56126.131,34118.942,83939.95
125,4.1121251,2.4983276,32.069393,38.6798457,55389.34,33651.874,83250.357
126,4.0588847,2.4647714,32.017927,38.5415831,54672.205,33199.881,82573.287
127,4.0070617,2.4323238,31.964463,38.4038485,53974.162,32762.82,81908.52
128,3.9566065,2.4009219,31.909054,38.2665824,53294.543,32339.843,81255.831
129,3.9074713,2.3705562,31.851755,38.1297825,52632.703,31930.825,80615.007
130,3.8596211,2.3411937,31.79262,37.9934348,51988.172,31535.318,79985.838
131,3.8130159,2.3128036,31.7317,37.8575195,51360.411,31152.911,79368.115
132,3.7676211,2.2853293,31.669045,37.7219954,50748.955,30782.839,78761.631
133,3.7234025,2.2587906,31.604707,37.5869001,50153.34,30425.369,78166.196
134,3.6803299,2.2331326,31.538738,37.4522005,49573.162,30079.762,77581.62
135,3.6383582,2.2083272,31.471188,37.3178734,49007.813,29745.639,77007.725
136,3.5974669,2.1843474,31.402112,37.1839263,48457.018,29422.636,76444.339
137,3.5576135,2.1611669,31.33156,37.0503404,47920.202,29110.401,75891.297
138,3.5187856,2.1387835,31.259582,36.9171511,47397.2,28808.902,75348.429
139,3.4809681,2.1171503,31.186228,36.7843464,46887.806,28517.508,74815.581
140,3.4441103,2.0962665,31.111551,36.6519278,46391.341,28236.208,74292.605
141,3.408184,2.0760881,31.035602,36.5198741,45907.423,27964.41,73779.356
142,3.3731663,2.0565947,30.958431,36.388192,45435.742,27701.839,73275.696
143,3.3390205,2.0377874,30.880088,36.2568959,44975.806,27448.509,72781.487
144,3.3057323,2.0196467,30.800619,36.125998,44527.423,27204.158,72296.597
145,3.2732755,2.0021541,30.720067,35.9954966,44090.238,26968.536,71820.883
146,3.2416389,1.9852717,30.638473,35.8653836,43664.1,26741.135,71354.203
147,3.2108181,1.9690032,30.555874,35.7356953,43248.952,26522.002,70896.421
148,3.1808019,1.9533325,30.472307,35.6064414,42844.64,26310.921,70447.398
149,3.1515626,1.9382248,30.387805,35.4775924,42450.793,26107.425,70006.995
150,3.1230897,1.9237044,30.302404,35.3491981,42067.27,25911.838,69575.085
151,3.0953607,1.9097189,30.216137,35.2212166,41693.768,25723.457,69151.539
152,3.0683595,1.8962743,30.129036,35.0936698,41330.068,25542.361,68736.233
153,3.0420794,1.8833765,30.041137,34.9665929,40976.082,25368.63,68329.053
154,3.0165049,1.8709762,29.952472,34.8399531,40631.599,25201.601,67929.886
155,2.9916149,1.8590808,29.863075,34.7137707,40296.337,25041.373,67538.626
156,2.9673906,1.8476796,29.77298,34.5880502,39970.04,24887.802,67155.173
157,2.9438139,1.8367623,29.682217,34.4627932,39652.469,24740.749,66779.423
158,2.9208661,1.8263368,29.59082,34.3380229,39343.367,24600.32,66411.284
159,2.8985296,1.8163582,29.498818,34.2137058,39042.5,24465.911,66050.659
160,2.8767932,1.8068355,29.40624,34.0898687,38749.715,24337.642,65697.458
161,2.8556434,1.7977776,29.313115,33.966536,38464.833,24215.634,65351.592
162,2.8350634,1.789159,29.219465,33.8436874,38187.625,24099.544,65012.959
163,2.8150571,1.7809723,29.125314,33.7213434,37918.146,23989.271,64681.473
164,2.795618,1.7731934,29.030726,33.5995374,37656.306,23884.491,64357.137
165,2.7767349,1.7658667,28.935743,33.4783446,37401.954,23785.802,64039.906
166,2.758397,1.7589349,28.840423,33.3577549,37154.947,23692.432,63729.782
167,2.7405909,1.7524092,28.744793,33.2377931,36915.103,23604.532,63426.698
168,2.7232903,1.7463007,28.64889,33.118481,36682.069,23522.252,63130.61
169,2.7064634,1.7405875,28.552784,32.9998349,36455.415,23445.297,62841.558
170,2.6900902,1.7352649,28.4565,32.8818551,36234.871,23373.602,62559.484
171,2.6741631,1.7303284,28.360055,32.7645465,36020.337,23307.109,62284.313
172,2.6586784,1.7257903,28.263466,32.6479347,35811.762,23245.983,62015.98
173,2.643629,1.7216142,28.166752,32.5319952,35609.049,23189.731,61754.421
174,2.6290067,1.7178292,28.069932,32.4167679,35412.09,23138.749,61499.585
175,2.6148034,1.7144323,27.973023,32.3022587,35220.775,23092.992,61251.416
176,2.601014,1.711388,27.876043,32.188445,35035.036,23051.987,61009.863
177,2.5876354,1.7087265,27.779017,32.0753789,34854.829,23016.137,60774.897
178,2.5746639,1.7064294,27.681992,31.9630853,34680.106,22985.196,60546.537
179,2.5621037,1.7044951,27.585165,31.8517638,34510.923,22959.141,60325.142
180,2.5499089,1.702922,27.488644,31.7414749,34346.662,22937.951,60110.869
